Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),"VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),CHOVEU
2023-04-10,6.8,1006.5565217391304,1006.8000000000001,1006.3304347826087,27.76521739130435,28.178260869565218,27.382608695652173,6.7043478260869565,3.2956521739130435,24.291304347826088,23.856521739130436,1
2023-05-17,6.6,1007.0500000000001,1007.2958333333332,1006.7833333333333,27.075,27.508333333333336,26.679166666666664,6.675,3.2375000000000003,24.041666666666668,23.72083333333333,1
2023-08-03,6.4,1010.3125,1010.5500000000001,1010.0708333333333,25.075,25.59583333333333,24.65416666666667,8.954166666666667,4.183333333333334,22.191666666666666,21.90833333333333,1
2023-08-31,6.2,1009.35,1009.5375,1009.1083333333332,26.037499999999998,26.570833333333336,25.575,6.6000000000000005,3.1208333333333336,22.233333333333334,21.65416666666667,1
2023-02-21,6.0,1005.3083333333334,1005.5666666666666,1005.0083333333333,28.15416666666667,28.724999999999998,27.666666666666668,10.475,4.983333333333333,23.0625,22.599999999999998,1
2023-09-13,5.8,1008.4875000000001,1008.7791666666667,1008.2583333333333,25.854166666666668,26.40833333333333,25.34166666666667,10.516666666666667,4.95,22.933333333333334,22.545833333333334,1
2023-04-15,5.8,1005.7454545454547,1005.9954545454547,1005.4909090909091,27.24090909090909,27.74090909090909,26.65,7.345454545454545,3.5,23.84090909090909,23.39090909090909,1
2023-09-11,5.4,1009.5749999999999,1009.8541666666666,1009.3125,25.929166666666664,26.53333333333333,25.416666666666668,9.825000000000001,4.483333333333333,21.662499999999998,21.054166666666667,1
2023-04-14,5.4,1004.9681818181817,1005.2318181818181,1004.6818181818181,26.786363636363635,27.20909090909091,26.372727272727275,6.363636363636363,2.9,24.004545454545454,23.595454545454547,1
2023-06-07,5.4,1009.0708333333333,1009.2666666666668,1008.8083333333334,26.625,27.141666666666666,26.183333333333334,8.225,3.641666666666667,23.883333333333336,23.45,1
2023-01-25,5.2,1004.725,1004.9375,1004.5416666666666,27.2,27.849999999999998,26.7375,7.125,3.3625000000000003,22.150000000000002,21.704166666666666,1
2023-06-10,5.2,1009.4625,1009.7166666666667,1009.2791666666667,26.025000000000002,26.329166666666666,25.616666666666664,6.7,3.1666666666666665,22.991666666666664,22.65416666666667,1
2023-07-30,5.0,1011.6083333333332,1011.8249999999999,1011.3541666666666,25.608333333333334,26.004166666666666,25.2375,9.3125,4.3625,23.125,22.666666666666668,1
2023-02-11,4.8,1005.3874999999999,1005.6458333333334,1005.1166666666667,27.599999999999998,28.066666666666666,27.066666666666666,8.541666666666666,4.245833333333334,22.691666666666666,22.15833333333333,1
2023-02-06,4.8,1006.525,1006.7875,1006.2833333333333,27.02916666666667,27.59583333333333,26.462500000000002,6.9875,3.158333333333333,23.587500000000002,23.087500000000002,1
2023-09-20,4.6000000000000005,1007.475,1007.6999999999999,1007.1833333333334,26.27916666666667,26.766666666666666,25.816666666666666,10.916666666666666,5.266666666666667,23.020833333333332,22.59166666666667,1
2023-03-15,4.4,1005.0124999999999,1005.3125,1004.775,27.170833333333334,27.633333333333336,26.816666666666666,5.320833333333334,2.5375,24.079166666666666,23.787499999999998,1
2023-03-30,4.4,1006.9772727272727,1007.2272727272727,1006.75,26.186363636363637,26.654545454545453,25.55909090909091,6.218181818181819,3.063636363636364,23.9,23.41818181818182,1
2023-07-19,4.0,1012.1833333333334,1012.3916666666668,1011.9583333333334,26.245833333333334,26.662499999999998,25.7625,10.008333333333333,4.533333333333333,22.72083333333333,22.275000000000002,1
2023-04-30,3.8,1007.0208333333334,1007.2916666666666,1006.7791666666667,27.787499999999998,28.233333333333334,27.329166666666666,6.3625,2.9791666666666665,24.495833333333334,24.145833333333332,1
2023-04-26,3.4,1006.0416666666666,1006.3000000000001,1005.8041666666667,27.15416666666667,27.558333333333334,26.775000000000002,8.049999999999999,3.7916666666666665,24.116666666666664,23.729166666666668,1
2023-04-29,3.1999999999999997,1008.2458333333334,1008.4875000000001,1008.0208333333334,27.458333333333332,27.895833333333332,27.041666666666668,5.420833333333333,2.3583333333333334,24.429166666666664,23.954166666666666,1
